Function/Set/Set size/Run number/Time
CreateTree/01/100/1/3
CreateTree/01/100/2/1
CreateTree/01/100/3/1
CreateTree/01/100/4/1
CreateTree/01/100/5/1
CreateTree/01/100/6/1
CreateTree/01/100/7/1
CreateTree/01/100/8/1
CreateTree/01/100/9/1
CreateTree/01/100/10/1
CreateTree/02/100/1/1
CreateTree/02/100/2/1
CreateTree/02/100/3/1
CreateTree/02/100/4/1
CreateTree/02/100/5/1
CreateTree/02/100/6/1
CreateTree/02/100/7/1
CreateTree/02/100/8/1
CreateTree/02/100/9/1
CreateTree/02/100/10/1
CreateTree/03/100/1/1
CreateTree/03/100/2/1
CreateTree/03/100/3/1
CreateTree/03/100/4/1
CreateTree/03/100/5/1
CreateTree/03/100/6/1
CreateTree/03/100/7/1
CreateTree/03/100/8/1
CreateTree/03/100/9/1
CreateTree/03/100/10/1
CreateTree/04/100/1/1
CreateTree/04/100/2/1
CreateTree/04/100/3/1
CreateTree/04/100/4/1
CreateTree/04/100/5/1
CreateTree/04/100/6/1
CreateTree/04/100/7/1
CreateTree/04/100/8/1
CreateTree/04/100/9/1
CreateTree/04/100/10/1
CreateTree/05/100/1/1
CreateTree/05/100/2/1
CreateTree/05/100/3/1
CreateTree/05/100/4/1
CreateTree/05/100/5/1
CreateTree/05/100/6/1
CreateTree/05/100/7/1
CreateTree/05/100/8/1
CreateTree/05/100/9/1
CreateTree/05/100/10/1
CreateTree/06/100/1/1
CreateTree/06/100/2/1
CreateTree/06/100/3/1
CreateTree/06/100/4/1
CreateTree/06/100/5/1
CreateTree/06/100/6/1
CreateTree/06/100/7/1
CreateTree/06/100/8/1
CreateTree/06/100/9/1
CreateTree/06/100/10/1
CreateTree/07/100/1/1
CreateTree/07/100/2/1
CreateTree/07/100/3/1
CreateTree/07/100/4/1
CreateTree/07/100/5/1
CreateTree/07/100/6/1
CreateTree/07/100/7/1
CreateTree/07/100/8/1
CreateTree/07/100/9/1
CreateTree/07/100/10/1
CreateTree/08/100/1/1
CreateTree/08/100/2/1
CreateTree/08/100/3/1
CreateTree/08/100/4/1
CreateTree/08/100/5/1
CreateTree/08/100/6/1
CreateTree/08/100/7/1
CreateTree/08/100/8/1
CreateTree/08/100/9/1
CreateTree/08/100/10/1
CreateTree/09/100/1/1
CreateTree/09/100/2/1
